quadra,lote,area_m2,valor_total,entrada_12x,parcela_12x_prefix,entrada_24x,parcela_24x_prefix,entrada_36x,parcela_36x_price_ipca,entrada_48x,parcela_48x_price_ipca,entrada_120x,parcela_120x_price_ipca,entrada_180x,parcela_180x_price_ipca
6,23,273.0,341250.0,34125.0,25594.0,51188.0,12086.0,34125.0,8531.0,34125.0,7213.0,34125.0,4093.0,34125.0,3498.0
6,24,297.74,372175.0,37218.0,27913.0,55826.0,13181.0,37218.0,9304.0,37218.0,7866.0,37218.0,4464.0,37218.0,3816.0
7,1,293.88,367350.0,36735.0,27551.0,55103.0,13010.0,36735.0,9184.0,36735.0,7765.0,36735.0,4406.0,36735.0,3766.0
7,2,264.96,331200.0,33120.0,24840.0,49680.0,11730.0,33120.0,8280.0,33120.0,7000.0,33120.0,3972.0,33120.0,3395.0
7,3,264.97,331212.5,33121.0,24841.0,49682.0,11730.0,33121.0,8280.0,33121.0,7001.0,33121.0,3972.0,33121.0,3396.0
7,4,265.11,331387.5,33139.0,24854.0,49708.0,11737.0,33139.0,8285.0,33139.0,7004.0,33139.0,3974.0,33139.0,3397.0
7,5,265.11,331387.5,33139.0,24854.0,49708.0,11737.0,33139.0,8285.0,33139.0,7004.0,33139.0,3974.0,33139.0,3397.0
7,6,264.97,331212.5,33121.0,24841.0,49682.0,11730.0,33121.0,8280.0,33121.0,7001.0,33121.0,3972.0,33121.0,3396.0
7,7,264.89,331112.5,33111.0,24833.0,49667.0,11727.0,33111.0,8278.0,33111.0,6999.0,33111.0,3971.0,33111.0,3395.0
7,8,264.86,331075.0,33108.0,24831.0,49661.0,11726.0,33108.0,8277.0,33108.0,6998.0,33108.0,3971.0,33108.0,3394.0
7,9,271.08,338850.0,33885.0,25414.0,50828.0,12001.0,33885.0,8471.0,33885.0,7162.0,33885.0,4064.0,33885.0,3474.0
7,10,281.55,351937.5,35194.0,26395.0,52791.0,12464.0,35194.0,8798.0,35194.0,7439.0,35194.0,4221.0,35194.0,3608.0
7,11,290.75,363437.5,36344.0,27258.0,54516.0,12872.0,36344.0,9086.0,36344.0,7682.0,36344.0,4359.0,36344.0,3726.0
7,12,310.65,388312.5,38831.0,29123.0,58247.0,13753.0,38831.0,9708.0,38831.0,8208.0,38831.0,4657.0,38831.0,3981.0
7,13,315.6,394500.0,39450.0,29588.0,59175.0,13972.0,39450.0,9863.0,39450.0,8338.0,39450.0,4731.0,39450.0,4044.0
7,14,290.92,363650.0,36365.0,27274.0,54548.0,12879.0,36365.0,9091.0,36365.0,7686.0,36365.0,4361.0,36365.0,3728.0
7,15,277.02,346275.0,34628.0,25971.0,51941.0,12264.0,34628.0,8657.0,34628.0,7319.0,34628.0,4153.0,34628.0,3550.0
7,16,276.95,346187.5,34619.0,25964.0,51928.0,12261.0,34619.0,8655.0,34619.0,7317.0,34619.0,4152.0,34619.0,3549.0
7,17,276.83,346037.5,34604.0,25953.0,51906.0,12255.0,34604.0,8651.0,34604.0,7314.0,34604.0,4150.0,34604.0,3548.0
7,18,276.83,346037.5,34604.0,25953.0,51906.0,12255.0,34604.0,8651.0,34604.0,7314.0,34604.0,4150.0,34604.0,3548.0
7,19,310.95,388687.5,38869.0,29152.0,58303.0,13766.0,38869.0,9717.0,38869.0,8216.0,38869.0,4662.0,38869.0,3985.0
7,20,326.85,408562.5,40856.0,30642.0,61284.0,14470.0,40856.0,10214.0,40856.0,8636.0,40856.0,4900.0,40856.0,4189.0
8,1,297.74,372175.0,37218.0,27913.0,55826.0,13181.0,37218.0,9304.0,37218.0,7866.0,37218.0,4464.0,37218.0,3816.0
8,2,273.0,341250.0,34125.0,25594.0,51188.0,12086.0,34125.0,8531.0,34125.0,7213.0,34125.0,4093.0,34125.0,3498.0
8,3,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
8,4,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
8,5,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
8,6,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
8,7,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
8,8,260.0,325000.0,32500.0,24375.0,48750.0,11510.0,32500.0,8125.0,32500.0,6869.0,32500.0,3898.0,32500.0,3332.0
8,9,299.0,373750.0,37375.0,28031.0,56063.0,13237.0,37375.0,9344.0,37375.0,7900.0,37375.0,4483.0,37375.0,3832.0
